product_href,img_url,Mfr_Part,Mfr,Availability,Price,Qty,Datasheet,Mount,Shape,Material ,Package,Series,Size,Product-Status,Efficiency-Type,Height Seated ,REACH_SVHC,RoHS_Status,Category,Subcategory,Name,Title,public_id
https://www.utmel.com/productdetail/mallorysonalertproductsinc-za028ladl1-6541,https://static.utmel.com/80dimg/mallorysonalertproductsinc-za028lasu2-2102.jpg,ZA028LADL1,,In Stock,,1,https://pdf.utmel.com/r/datasheets/mallorysonalertproductsinc-za028ladl1-datasheets-2133.pdf,Surface Mount,,,Bulk,-,0.906Lx0.906W 23.00mmx23.00mm,Active,,,,,,,,,
https://www.utmel.com/productdetail/mallorysonalertproductsinc-sc628hjr-6531,https://static.utmel.com/80dimg/mallorysonalertproductsinc-sc628cpn-1923.jpg,SC628HJR,,In Stock,,1,https://pdf.utmel.com/r/datasheets/mallorysonalertproductsinc-sc616j-datasheets-283.pdf,-,,,Bulk,-,0.906Lx0.906W 23.00mmx23.00mm,Active,,35.9mm,,,,,,,
https://www.utmel.com/productdetail/mallorysonalertproductsinc-sc110jwr-5162,https://static.utmel.com/80dimg/mallorysonalertproductsinc-sc616cpnr-2693.jpg,SC110JWR,,In Stock,,1,https://pdf.utmel.com/r/datasheets/mallorysonalertproductsinc-sc616j-datasheets-283.pdf,-,,,Bulk,-,1.210Dia 30.74mm,Active,,35.9mm,,,,,,,
https://www.utmel.com/productdetail/murataelectronics-pklcs1212e24a0r1-4908,https://static.utmel.com/80dimg/murataelectronics-pklcs1212e40a1r1-1454.jpg,PKLCS1212E24A0-R1,,In Stock,,1,https://pdf.utmel.com/r/datasheets/murataelectronics-pkm22epth2002b0-datasheets-313.pdf,200,,,Bulk,-,0.906Lx0.906W 23.00mmx23.00mm,Active,,35.9mm,,,,,,,
https://www.utmel.com/productdetail/murataelectronics-pklcs1212e40a1r1-2069,https://static.utmel.com/80dimg/murataelectronics-pklcs1212e40a1r1-1454.jpg,PKLCS1212E40A1-R1,,2114,,1,https://pdf.utmel.com/r/datasheets/murataelectronics-pkm22epth2002b0-datasheets-313.pdf,Base,,,Bulk,-,0.906Lx0.906W 23.00mmx23.00mm,Active,,48.3mm,,,,,,,
https://www.utmel.com/productdetail/cuidevices-ct1205hsmttr-2090,https://static.utmel.com/80dimg/cuidevices-ct1205hsmttr-1470.jpg,CT-1205H-SMT-TR,,14848,,1,https://pdf.utmel.com/r/datasheets/cuidevices-ct1205hsmttr-datasheets-1051.pdf,Base,,,Bulk,-,0.906Lx0.906W 23.00mmx23.00mm,1 (Unlimited),,35.9mm,,,,,,,
https://www.utmel.com/productdetail/mallorysonalertproductsinc-sc628er-5632,https://static.utmel.com/80dimg/mallorysonalertproductsinc-sc628cpn-1923.jpg,SC628ER,,In Stock,,1,https://pdf.utmel.com/r/datasheets/mallorysonalertproductsinc-sc628er-datasheets-6671.pdf,Panel,,,Bulk,-,1.210Dia 30.74mm,Active,,35.9mm,,,,,,,
https://www.utmel.com/productdetail/mallorysonalertproductsinc-za028ldfp1-4561,https://static.utmel.com/80dimg/mallorysonalertproductsinc-za028lasu2-2102.jpg,ZA028LDFP1,,In Stock,,1,https://pdf.utmel.com/r/datasheets/mallorysonalertproductsinc-za048sasr8-datasheets-5889.pdf,-,,,Bulk,-,1.210Dia 30.74mm,Active,,32.9mm,,,,,,,
https://www.utmel.com/productdetail/mallorysonalertproductsinc-sc628djr-4728,https://static.utmel.com/80dimg/mallorysonalertproductsinc-sc628djr-3179.jpg,SC628DJR,,In Stock,,1,https://pdf.utmel.com/r/datasheets/mallorysonalertproductsinc-sc628djr-datasheets-1978.pdf,-,,,Bulk,-,0.906Lx0.906W 23.00mmx23.00mm,Active,,35.9mm,,,,,,,
https://www.utmel.com/productdetail/mallorysonalertproductsinc-sc110njr-4740,https://static.utmel.com/80dimg/mallorysonalertproductsinc-sc648ae-2130.jpg,SC110NJR,,In Stock,,1,https://pdf.utmel.com/r/datasheets/mallorysonalertproductsinc-sc110njr-datasheets-2077.pdf,Base,,,Bulk,-,1.210Dia 30.74mm,Active,,35.9mm,,,,,,,
